"Resolution","FPS"
"800x600","0.003"
"800x600","56.710"
"800x600","58.371"
"800x600","62.220"
"800x600","61.874"
"800x600","61.875"
"800x600","61.876"
"800x600","61.874"
"800x600","61.878"
"800x600","61.880"
"800x600","61.570"
"800x600","61.876"
"800x600","61.883"
"800x600","61.882"
"800x600","61.892"
"800x600","61.882"
"800x600","61.879"
"800x600","61.885"
"800x600","61.882"
"800x600","61.876"
"800x600","61.895"
"800x600","61.875"
"800x600","61.881"
"800x600","61.877"
"800x600","61.882"
"800x600","61.881"
"800x600","61.796"
"800x600","61.884"
"800x600","61.883"
"800x600","61.881"
"800x600","61.879"
"800x600","62.703"
"800x600","62.449"
"800x600","62.356"
"800x600","62.497"
"800x600","62.502"
"800x600","62.497"
"800x600","62.498"
"800x600","62.499"
"800x600","62.497"
"800x600","62.498"
"800x600","62.495"
"800x600","62.497"
"800x600","62.429"
"800x600","62.500"
"800x600","62.498"
"800x600","62.508"
"800x600","62.498"
"800x600","62.500"
"800x600","62.502"
"800x600","62.499"
"800x600","62.498"
"800x600","62.496"
"800x600","62.498"
"800x600","62.500"
"800x600","62.419"
"800x600","62.497"
"800x600","62.502"
"800x600","62.497"
"800x600","62.496"
"800x600","62.504"
"800x600","62.502"
"800x600","62.500"
"800x600","62.499"
"800x600","62.495"
"800x600","62.497"
"800x600","62.499"
"800x600","62.510"
"800x600","62.492"
"800x600","62.498"
"800x600","62.499"
"800x600","62.495"
"800x600","62.498"
"800x600","62.499"
"800x600","62.497"
"800x600","62.495"
"800x600","62.493"
"800x600","62.498"
"800x600","62.294"
"800x600","62.400"
"800x600","62.500"
"800x600","62.498"
"800x600","62.499"
"800x600","62.495"
"800x600","62.501"
"800x600","62.496"
"800x600","62.509"
"800x600","62.501"
"800x600","62.497"
"800x600","62.500"
"800x600","62.505"
"800x600","62.496"
"800x600","62.500"
"800x600","62.499"
"800x600","62.497"
"800x600","62.495"
"800x600","62.539"
"800x600","62.496"
"800x600","62.498"
"800x600","62.495"
"800x600","62.496"
"800x600","62.495"
"800x600","62.496"
"800x600","62.453"
"800x600","62.463"
"800x600","62.804"
"800x600","62.500"
"800x600","62.494"
"800x600","62.493"
"800x600","62.497"
"800x600","62.495"
"800x600","62.498"
"800x600","62.471"
"800x600","62.307"
"800x600","62.479"
"800x600","62.502"
"800x600","62.492"
"800x600","62.494"
"800x600","62.493"
"800x600","62.492"
"800x600","62.578"
"800x600","62.491"
"800x600","62.493"
"800x600","62.495"
"800x600","62.492"
"800x600","62.497"
"800x600","62.495"
"800x600","62.497"
"800x600","62.612"
"800x600","62.635"
"800x600","62.495"
"800x600","62.492"
"800x600","62.494"
"800x600","62.498"
"800x600","62.496"
"800x600","62.497"
"800x600","62.498"
"800x600","62.495"
"800x600","62.497"
"800x600","62.564"
"800x600","62.495"
"800x600","62.493"
"800x600","62.491"
"800x600","62.496"
"800x600","62.494"
"800x600","62.493"
"800x600","62.492"
"800x600","62.496"
"800x600","62.493"
"800x600","62.575"
"800x600","62.503"
"800x600","62.495"
"800x600","62.496"
"800x600","62.498"
"800x600","62.499"
"800x600","62.491"
"800x600","62.496"
"800x600","62.498"
"800x600","62.499"
"800x600","62.496"
"800x600","62.493"
"800x600","62.498"
"800x600","62.501"
"800x600","62.496"
"800x600","62.497"
"800x600","62.496"
"800x600","62.500"
"800x600","62.499"
"800x600","62.498"
"800x600","62.499"
"800x600","62.705"
"800x600","62.600"
"800x600","62.497"
"800x600","62.418"
"800x600","62.499"
"800x600","62.501"
"800x600","62.496"
"800x600","62.501"
"800x600","62.496"
"800x600","62.487"
"800x600","62.499"
"800x600","62.497"
"800x600","62.494"
"800x600","62.493"
"800x600","62.391"
"800x600","62.498"
"800x600","62.497"
"800x600","62.498"
"800x600","62.495"
"800x600","62.496"
"800x600","62.495"
"800x600","62.494"
"800x600","62.538"
"800x600","62.528"
"800x600","62.502"
"800x600","62.493"
"800x600","62.496"
"800x600","62.497"
"800x600","62.500"
"800x600","62.494"
"800x600","62.497"
"800x600","62.495"
"800x600","62.515"
"800x600","62.685"
"800x600","62.510"
"800x600","62.497"
"800x600","62.432"
"800x600","62.497"
"800x600","62.489"
"800x600","62.500"
"800x600","62.492"
"800x600","62.498"
"800x600","62.497"
"800x600","62.499"
"800x600","62.495"
"800x600","62.496"
"800x600","62.501"
"800x600","62.496"
"800x600","62.497"
"800x600","62.499"
"800x600","62.503"
"800x600","62.500"
"800x600","62.497"
"800x600","62.500"
"800x600","62.499"
"800x600","62.495"
"800x600","62.486"
"800x600","62.501"
"800x600","62.502"
"800x600","62.498"
"800x600","62.501"
"800x600","62.495"
"800x600","62.499"
"800x600","62.496"
"800x600","62.499"
"800x600","62.502"
"800x600","62.498"
"800x600","62.499"
"800x600","62.502"
"800x600","62.500"
"800x600","62.451"
"800x600","62.491"
"800x600","62.499"
"800x600","62.497"
"800x600","62.499"
"800x600","62.501"
"800x600","62.498"
"800x600","62.499"
"800x600","62.495"
"800x600","62.484"
"800x600","62.499"
"800x600","62.502"
"800x600","62.496"
"800x600","62.497"
"800x600","62.496"
"800x600","62.495"
"800x600","62.497"
"800x600","62.494"
"800x600","62.492"
"800x600","62.494"
"800x600","62.496"
"800x600","62.495"
"800x600","62.492"
"800x600","62.497"
"800x600","62.575"
"800x600","62.496"
"800x600","62.494"
"800x600","62.493"
"800x600","62.496"
"800x600","62.497"
"800x600","62.499"
"800x600","62.495"
"800x600","62.496"
"800x600","62.497"
"800x600","62.498"
"800x600","62.601"
"800x600","62.497"
"800x600","62.501"
"800x600","62.496"
"800x600","62.501"
"800x600","62.497"
"800x600","62.495"
"800x600","62.498"
"800x600","62.499"
"800x600","62.496"
"800x600","62.497"
"800x600","62.499"
"800x600","62.495"
"800x600","62.497"
"800x600","62.495"
"800x600","62.496"
"800x600","62.493"
"800x600","62.498"
"800x600","62.494"
"800x600","62.497"
"800x600","62.496"
"800x600","62.563"
"800x600","62.495"
"800x600","62.506"
"800x600","62.494"
"800x600","62.503"
"800x600","62.497"
"800x600","62.498"
"800x600","62.495"
"800x600","62.501"
"800x600","62.496"
"800x600","62.493"
"800x600","62.495"
"800x600","62.498"
"800x600","62.499"
"800x600","62.489"
"800x600","62.497"
"800x600","62.495"
"800x600","62.494"
"800x600","62.492"
"800x600","62.497"
"800x600","62.495"
"800x600","62.493"
"800x600","62.494"
"800x600","62.497"
"800x600","62.498"
"800x600","62.497"
"800x600","62.501"
"800x600","62.496"
"800x600","62.497"
"800x600","62.496"
"800x600","62.497"
"800x600","62.492"
"800x600","62.496"
"800x600","62.497"
"800x600","62.491"
"800x600","62.492"
"800x600","62.540"
"800x600","62.505"
"800x600","62.493"
"800x600","62.495"
"800x600","62.494"
"800x600","62.496"
"800x600","62.498"
"800x600","62.496"
"800x600","62.497"
"800x600","62.500"
"800x600","62.499"
"800x600","62.494"
"800x600","62.497"
"800x600","62.496"
"800x600","62.498"
"800x600","62.496"
"800x600","62.502"
"800x600","62.496"
"800x600","62.497"
"800x600","62.498"
"800x600","62.496"
"800x600","62.497"
"800x600","62.494"
"800x600","62.484"
"800x600","62.495"
"800x600","62.499"
"800x600","62.500"
"800x600","62.499"
"800x600","62.497"
"800x600","62.493"
"800x600","62.498"
"800x600","62.496"
"800x600","62.497"
"800x600","62.499"
"800x600","62.500"
"800x600","62.494"
"800x600","62.498"
"800x600","62.493"
"800x600","62.498"
"800x600","62.503"
"800x600","62.497"
"800x600","62.495"
"800x600","62.500"
"800x600","62.324"
"800x600","62.408"
"800x600","62.432"
"800x600","62.496"
"800x600","62.499"
"800x600","62.497"
"800x600","62.499"
"800x600","62.210"
"800x600","62.406"
"800x600","62.500"
"800x600","62.498"
"800x600","62.500"
"800x600","62.499"
"800x600","62.498"
"800x600","62.495"
"800x600","62.497"
"800x600","62.499"
"800x600","62.497"
"800x600","62.495"
"800x600","62.492"
"800x600","62.497"
"800x600","62.496"
"800x600","62.492"
"800x600","62.504"
"800x600","62.497"
"800x600","62.494"
"800x600","62.497"
"800x600","62.496"
"800x600","62.499"
"800x600","62.496"
"800x600","62.502"
"800x600","62.496"
"800x600","62.495"
"800x600","62.491"
"800x600","62.497"
"800x600","62.495"
"800x600","62.496"
"800x600","62.499"
"800x600","62.500"
"800x600","62.504"
"800x600","62.501"
"800x600","62.500"
"800x600","62.502"
"800x600","62.501"
"800x600","62.499"
"800x600","62.498"
"800x600","62.497"
"800x600","62.498"
"800x600","62.493"
"800x600","62.491"
"800x600","62.498"
"800x600","62.499"
"800x600","62.494"
"800x600","62.495"
"800x600","62.498"
"800x600","62.494"
"800x600","62.497"
"800x600","62.498"
"800x600","62.496"
"800x600","62.498"
"800x600","62.504"
"800x600","62.498"
"800x600","62.495"
"800x600","62.496"
"800x600","62.468"
"800x600","62.498"
"800x600","62.487"
"800x600","62.501"
"800x600","62.491"
"800x600","62.511"
"800x600","62.497"
"800x600","62.490"
"800x600","62.494"
"800x600","62.496"
"800x600","62.497"
"800x600","62.508"
"800x600","62.490"
"800x600","62.497"
"800x600","62.496"
"800x600","62.497"
"800x600","62.493"
"800x600","62.497"
"800x600","62.495"
"800x600","62.496"
"800x600","62.493"
"800x600","62.497"
"800x600","62.499"
"800x600","62.494"
"800x600","62.496"
"800x600","62.498"
"800x600","62.494"
"800x600","62.674"
"800x600","62.590"
"800x600","62.562"
"800x600","62.498"
"800x600","62.494"
"800x600","62.499"
"800x600","62.495"
"800x600","62.790"
"800x600","62.588"
"800x600","62.505"
"800x600","62.497"
"800x600","62.495"
"800x600","62.492"
"800x600","62.494"
"800x600","62.497"
"800x600","62.496"
"800x600","62.500"
"800x600","62.497"
"800x600","62.495"
"800x600","62.492"
"800x600","62.499"
"800x600","62.497"
"800x600","62.501"
"800x600","62.497"
"800x600","62.496"
"800x600","62.493"
"800x600","62.500"
"800x600","62.493"
"800x600","62.498"
"800x600","62.501"
"800x600","62.499"
"800x600","62.497"
"800x600","62.490"
"800x600","62.504"
"800x600","62.500"
"800x600","62.498"
"800x600","62.499"
"800x600","62.495"
"800x600","62.496"
"800x600","62.492"
"800x600","62.491"
"800x600","62.497"
"800x600","62.492"
"800x600","62.495"
"800x600","62.484"
"800x600","62.495"
"800x600","62.498"
"800x600","62.496"
"800x600","62.495"
"800x600","62.496"
"800x600","62.497"
"800x600","62.500"
"800x600","62.495"
"800x600","62.503"
"800x600","62.500"
"800x600","62.497"
"800x600","62.495"
"800x600","62.499"
"800x600","62.494"
"800x600","62.498"
"800x600","62.492"
"800x600","62.493"
"800x600","62.499"
"800x600","62.495"
"800x600","62.524"
"800x600","62.493"
"800x600","62.506"
"800x600","62.490"
"800x600","62.502"
"800x600","62.495"
"800x600","62.497"
"800x600","62.501"
"800x600","62.497"
"800x600","62.495"
"800x600","62.508"
"800x600","62.496"
"800x600","62.499"
"800x600","62.486"
"800x600","62.495"
"800x600","62.497"
"800x600","62.498"
"800x600","62.500"
"800x600","62.494"
"800x600","62.497"
"800x600","62.500"
"800x600","62.497"
"800x600","62.496"
"800x600","62.498"
"800x600","62.493"
"800x600","62.492"
"800x600","62.496"
"800x600","62.498"
"800x600","62.497"
"800x600","62.493"
"800x600","62.489"
"800x600","62.496"
"800x600","62.498"
"800x600","62.480"
"800x600","62.499"
"800x600","62.498"
"800x600","62.497"
"800x600","62.494"
"800x600","62.496"
"800x600","62.497"
"800x600","62.498"
"800x600","62.497"
"800x600","62.496"
"800x600","62.497"
"800x600","62.494"
"800x600","62.496"
"800x600","62.497"
"800x600","62.499"
"800x600","62.496"
"800x600","62.501"
"800x600","62.494"
"800x600","62.492"
"800x600","62.489"
"800x600","62.494"
"800x600","62.495"
"800x600","62.504"
"800x600","62.497"
"800x600","62.498"
